"","SWP","HESSP","ERYJUV","ANCNUM","THYLIN","ANALOG","POLTHE","POLMYS","POAHOB","EUPDIO","EUPVES","PAPPOL","PAPCAN","PIERAP","PIESP","COLPHI","LYCHYL","SATACA","SATCAR","EVECOM","LYCSP","CELLAD","GLALYG","NYMSP","LIBBAC","BOLBEL","CHLNYC","PHYTHA","PHYCOC","POLCOM","NYMVAU","NYMANT","LIMART","LIMARC","SATEUR","COETUL","DANPLE","abund"
"1",1127,0,0,0,0,0,0,0,0,0,1,0,0,12,0,8,0,0,0,3,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,4,4,39
"2",1133,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,51
"3",1134,1,0,0,5,1,0,1,1,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,40
"4",1204,1,0,13,2,0,0,0,0,0,0,0,0,8,0,11,5,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,5,12,6,69
"5",1206,0,0,0,8,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34
"6",1209,0,0,0,0,0,0,0,0,3,0,0,0,18,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,1,0,46
"7",1220,0,0,1,1,3,0,0,0,0,18,0,0,10,0,3,0,0,0,1,0,0,6,2,0,0,2,0,3,0,0,0,1,1,0,1,3,56
"8",1227,0,0,0,2,0,3,0,0,0,0,0,0,9,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,27
"9",1236,1,1,23,61,0,0,0,0,0,0,3,0,32,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,3,0,130
"10",1306,0,0,15,0,1,0,0,0,0,0,8,0,32,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,80
"11",1310,3,0,10,3,0,1,4,0,0,0,0,0,45,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,121
"12",1314,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,18
"13",1347,0,0,1,4,1,1,1,0,0,0,2,0,10,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38
"14",1352,4,0,18,4,0,0,0,1,0,0,2,0,33,0,11,1,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,84
"15",1428,0,0,8,0,0,0,0,0,0,0,0,0,38,0,15,0,0,0,3,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0,10,1,82
"16",1501,0,0,32,1,1,3,0,0,0,0,0,0,34,0,13,0,0,1,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,8,107
"17",1610,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"18",1616,0,0,14,3,0,0,0,0,0,0,2,0,3,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,40
"19",1622,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"20",1809,0,0,2,7,0,0,0,2,0,0,0,0,21,0,12,0,0,0,0,3,1,1,1,0,0,0,1,4,0,0,1,1,0,0,17,2,76
"21",1914,0,0,13,15,0,0,0,0,0,0,0,0,4,0,7,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,6,2,53
