Pond,year,month,day,nnative,nspecies,pernatsp,avgbloom,avgnatbloom,pernatbloom
SWF-1127,2018,July,4,1,4,0.25,0.8,0.25,0.3125
SWF-1127,2018,July,23,1,7,0.14285714285714285,12.95,0.25,0.019305019305019305
SWF-1127,2018,June,8,1,2,0.5,2.75,1.5,0.5454545454545454
SWF-1133,2018,July,4,2,5,0.4,6.05,3,0.49586776859504134
SWF-1133,2018,July,23,2,4,0.5,1.35,0.3,0.2222222222222222
SWF-1133,2018,June,8,4,7,0.5714285714285714,31.05,27.5,0.8856682769726247
SWF-1134,2018,July,4,4,8,0.5,10.65,5.7,0.5352112676056338
SWF-1134,2018,July,23,2,7,0.2857142857142857,3.4,1,0.29411764705882354
SWF-1134,2018,June,8,2,7,0.2857142857142857,3.35,1.65,0.4925373134328358
SWF-1204,2018,August,14,4,13,0.3076923076923077,16.55,6.15,0.3716012084592145
SWF-1204,2018,July,3,2,8,0.25,8.45,1.75,0.20710059171597636
SWF-1204,2018,June,12,4,7,0.5714285714285714,2.3,0.55,0.23913043478260873
SWF-1206,2018,July,6,5,14,0.35714285714285715,22.3,2.65,0.11883408071748879
SWF-1206,2018,July,31,5,13,0.38461538461538464,7.25,2.75,0.3793103448275862
SWF-1206,2018,June,21,4,10,0.4,10.15,4.7,0.4630541871921182
SWF-1209,2018,July,9,5,19,0.2631578947368421,9.5,0.9,0.09473684210526316
SWF-1209,2018,July,26,3,15,0.2,19.6,3.5,0.17857142857142855
SWF-1209,2018,June,15,3,8,0.375,15.9,14.9,0.9371069182389937
SWF-1220,2018,July,10,4,14,0.2857142857142857,4.2,1.55,0.36904761904761907
SWF-1220,2018,July,31,1,8,0.125,3.4,0.85,0.25
SWF-1220,2018,June,15,3,14,0.21428571428571427,9.6,0.45,0.046875
SWF-1227,2018,July,3,2,14,0.14285714285714285,12.75,2.8,0.2196078431372549
SWF-1227,2018,July,27,3,18,0.16666666666666666,13.8,0.65,0.04710144927536232
SWF-1227,2018,June,7,2,10,0.2,2.2,0.15,0.06818181818181818
SWF-1236,2018,August,20,5,14,0.35714285714285715,19.55,4.5,0.23017902813299232
SWF-1236,2018,July,18,2,8,0.25,18.2,1.3,0.07142857142857144
SWF-1236,2018,June,22,3,9,0.3333333333333333,22.5,15.7,0.6977777777777777
SWF-1306,2018,July,9,1,12,0.08333333333333333,13.7,0.25,0.018248175182481754
SWF-1306,2018,July,27,3,12,0.25,13.45,1.1,0.08178438661710039
SWF-1306,2018,June,12,3,6,0.5,20.8,20.3,0.9759615384615384
SWF-1310,2018,August,13,7,16,0.4375,25.2,14.45,0.5734126984126984
SWF-1310,2018,July,9,7,18,0.3888888888888889,12.65,5.3,0.41897233201581024
SWF-1310,2018,June,15,5,15,0.3333333333333333,7.15,4.35,0.6083916083916083
SWF-1314,2018,July,6,3,12,0.25,8.45,1.55,0.18343195266272191
SWF-1314,2018,June,12,2,11,0.18181818181818182,2.75,0.3,0.10909090909090909
SWF-1347,2018,July,3,6,14,0.42857142857142855,14.55,10.35,0.7113402061855669
SWF-1347,2018,July,31,3,16,0.1875,4.85,0.8,0.16494845360824745
SWF-1347,2018,June,7,4,7,0.5714285714285714,9.2,5.9,0.641304347826087
SWF-1352,2018,August,23,3,19,0.15789473684210525,25.1,6.15,0.2450199203187251
SWF-1352,2018,July,16,1,11,0.09090909090909091,28.7,0.1,0.0034843205574912896
SWF-1352,2018,June,25,3,14,0.21428571428571427,15.95,0.3,0.018808777429467086
SWF-1428,2018,August,16,4,13,0.3076923076923077,3.95,1.05,0.26582278481012656
SWF-1428,2018,July,16,3,9,0.3333333333333333,19.1,0.95,0.049738219895287955
SWF-1428,2018,June,22,7,15,0.4666666666666667,27.25,13.3,0.48807339449541287
SWF-1501,2018,August,16,10,15,0.6666666666666666,12.15,6.75,0.5555555555555556
SWF-1501,2018,July,10,2,9,0.2222222222222222,14.65,1,0.06825938566552901
SWF-1501,2018,June,21,4,6,0.6666666666666666,5.95,1.95,0.3277310924369748
SWF-1610,2018,August,14,1,5,0.2,0.5,0.1,0.2
SWF-1610,2018,July,13,1,5,0.2,0.95,0.25,0.2631578947368421
SWF-1610,2018,June,25,2,10,0.2,5.6,2.65,0.47321428571428575
SWF-1616,2018,August,13,3,14,0.21428571428571427,10.2,3.55,0.3480392156862745
SWF-1616,2018,July,11,3,8,0.375,2.4,0.5,0.20833333333333334
SWF-1616,2018,June,21,5,10,0.5,11.8,10.35,0.8771186440677965
SWF-1622,2018,August,20,3,13,0.23076923076923078,7.85,0.9,0.11464968152866242
SWF-1622,2018,June,29,1,12,0.08333333333333333,18.1,0.75,0.04143646408839779
SWF-1809,2018,August,16,8,18,0.4444444444444444,20.55,14.7,0.7153284671532846
SWF-1809,2018,July,13,4,12,0.3333333333333333,6.75,2.25,0.3333333333333333
SWF-1809,2018,June,25,2,8,0.25,22.5,21.1,0.9377777777777778
SWF-1914,2018,August,21,1,13,0.07692307692307693,9.15,2.25,0.2459016393442623
SWF-1914,2018,July,18,3,13,0.23076923076923078,8.3,2,0.24096385542168672
SWF-1914,2018,June,29,4,12,0.3333333333333333,11.6,6.6,0.5689655172413793
