Pond,nspecies,nnative,pernatsp,avgbloom,avgnatbloom,pernatbloom
SWF-1127,11,3,0.2976190476190476,5.5,0.6666666666666666,0.2924198549198549
SWF-1133,12,6,0.49047619047619045,12.816666666666666,10.266666666666667,0.5345860892632961
SWF-1134,15,7,0.35714285714285715,5.8,2.783333333333333,0.44062207603243103
SWF-1204,20,8,0.37637362637362637,9.1,2.816666666666667,0.2726107449859332
SWF-1206,25,10,0.3805860805860806,13.233333333333334,3.3666666666666667,0.3203995375790644
SWF-1209,27,8,0.2793859649122807,15,6.433333333333334,0.4034717296385618
SWF-1220,27,8,0.20833333333333331,5.733333333333333,0.95,0.22197420634920637
SWF-1227,24,5,0.16984126984126985,9.583333333333334,1.2,0.11163037019814513
SWF-1236,19,8,0.3134920634920635,20.083333333333332,7.166666666666666,0.33312845911311384
SWF-1306,22,5,0.2777777777777778,15.983333333333333,7.216666666666667,0.3586647000870402
SWF-1310,34,13,0.38657407407407407,15,8.033333333333333,0.533592212940039
SWF-1314,18,3,0.2159090909090909,5.6,0.925,0.1462614308768155
SWF-1347,26,11,0.3958333333333333,9.533333333333333,5.683333333333334,0.5058643358733005
SWF-1352,25,6,0.15436318067897015,23.25,2.1833333333333336,0.08910433943522783
SWF-1428,23,10,0.36923076923076925,16.766666666666666,5.1000000000000005,0.26787813306694247
SWF-1501,23,14,0.5185185185185185,10.916666666666668,3.2333333333333334,0.31718201121935313
SWF-1610,15,4,0.2,2.3499999999999996,1,0.31212406015037597
SWF-1616,22,7,0.3630952380952381,8.133333333333333,4.8,0.47783039769580143
SWF-1622,18,3,0.15705128205128205,12.975000000000001,0.825,0.07804307280853011
SWF-1809,24,10,0.34259259259259256,16.6,12.683333333333334,0.6621465260881318
SWF-1914,24,6,0.21367521367521367,9.683333333333334,3.6166666666666667,0.3519436706691095
